"user_id","product_id","timestamp","action","session_id","time_spent","add_to_cart","purchase","page_views"
"USR_000702","PROD_000322","2024-10-31T22:49:39.220682991","VIEW","26fc6698-e4cb-4cbe-a30b-1c3d3d583e9f","235","true","false","2"
"USR_000875","PROD_000254","2024-10-25T22:49:39.253503394","WISHLIST","19afafd9-cbea-43fd-8f13-09d6ce3602dc","68","false","false","5"
"USR_000456","PROD_000069","2024-09-22T22:49:39.253652959","PURCHASE","c77ba54a-fd2c-4129-9819-2afb5d416f20","150","false","false","2"
"USR_000354","PROD_000021","2024-11-02T22:49:39.253784295","VIEW","c31a1883-97b4-4d3e-b482-81c0eb95dd97","17","false","false","3"
"USR_000500","PROD_000442","2024-11-20T22:49:39.253934076","ADD_TO_CART","2631b373-19d4-4268-89d8-4b3b38dd9991","246","false","false","6"
"USR_000694","PROD_000358","2024-10-03T22:49:39.253973558","ADD_TO_CART","b83563dd-b538-43ec-9c9b-257697aab25d","17","false","false","1"
"USR_000257","PROD_000480","2024-09-29T22:49:39.254099357","REVIEW","390b7bbd-13d3-4a3e-b1d3-5f410dc0f213","160","true","true","9"
"USR_000810","PROD_000357","2024-11-13T22:49:39.254256394","VIEW","e61c06d2-61de-4b15-bbb8-79f529425045","122","false","false","7"
"USR_000606","PROD_000409","2024-10-26T22:49:39.254387785","PURCHASE","bf9b39e7-5831-4b18-b7c3-273e6444adef","191","false","false","4"
"USR_000889","PROD_000355","2024-10-29T22:49:39.254513046","PURCHASE","39859064-7ae3-4078-964f-90884609050f","82","false","false","3"
"USR_000363","PROD_000307","2024-09-26T22:49:39.254553579","WISHLIST","da47392b-7c97-40a9-96a2-fa2b983b2283","80","false","false","4"
"USR_000661","PROD_000270","2024-10-31T22:49:39.254686647","PURCHASE","57ee58f8-3093-474f-bba1-d8ca8dd8cc5f","40","false","false","0"
"USR_000324","PROD_000454","2024-10-29T22:49:39.254816155","PURCHASE","ed59d83d-9020-4da1-a370-644b78e53924","55","false","false","8"
"USR_000931","PROD_000077","2024-09-10T22:49:39.254939928","PURCHASE","e246d1e8-850f-4431-95d6-abd8715a2d90","143","false","false","0"
"USR_000196","PROD_000495","2024-11-09T22:49:39.255055568","REVIEW","3bc76615-c7ef-4a65-bd99-ab79b147f44e","264","true","false","6"
